SN,고객번호,우편번호,시도,시군구,동단위,나이,고객등급,고객등급코드,가입일자,가입기간, 수신 총잔액 , 신용대출한도 ,신용등급, 담보대출한도 ,년간 환전액,분기당 해외 송금액,스마트뱅킹 사용여부,폰뱅킹사용여부, 월소득 예상금액 ,인터넷뱅킹사용횟수, 인터넷뱅킹 사용 금액 ,가입점,교육정도코드,교육정도,종교코드,종교,직업종류코드,직업종류,혼인여부,주택소유여부
B11,10019912,35859,전남,광양시,진상면,72,실버,1,2002-06-03,16,"5,260,714","3,500,000",8,"7,000,000",0,0,n,n,"1,017,500",0, - ,영업점,1,기타,4,카톨릭,6,주부,사실혼,자가소유
B12,10020238,,NULL,NULL,NULL,51,패밀리,0,2003-09-01,14,"761,039","70,100,000",6,"140,200,000",0,0,n,n,"3,551,511",0, - ,영업점,9,NULL,9,원불교,0,NULL,재혼,자가소유
B13,10022529,4743,서울,성북구,동소문동3가,61,골드,2,2010-07-15,7,"24,375,307","16,000,000",4,"32,000,000",0,0,n,n,"8,018,333",39,"4,644,000",영업점,5,석사,2,기독교,3,자영업,기혼,월세
B14,10022950,7382,서울,중랑구,묵2동,52,실버,1,2005-08-01,12,"7,637,614","18,300,000",4,"36,600,000",0,0,y,n,"8,019,167",0, - ,pb센터,2,고졸,2,기독교,3,자영업,기혼,월세
B15,10023275,31642,경북,구미시,송정동,66,패밀리,0,2002-11-30,15,"940,464","2,200,000",9,"4,400,000",0,0,n,n,"1,020,000",0, - ,영업점,3,대퇴,1,불교,6,주부,사별,자가소유
B16,10026248,21053,경기,군포시,산본동,55,패밀리,0,2006-10-28,11,"144,388","170,200,000",4,"340,400,000",8200000,2050000,n,n,"20,833",15,"4,248,000",pb센터,2,고졸,1,불교,8,무직,기혼,가족소유
B17,10028752,,NULL,NULL,NULL,40,패밀리,0,2008-07-25,9,"276,973","28,100,000",6,"56,200,000",0,0,n,n,"1,022,500",0, - ,영업점,5,석사,3,무교,7,학생,비혼,자가소유
B18,10029102,27641,경남,김해시,내동,68,실버,1,2006-03-23,12,"6,027,400","13,600,000",9,"27,200,000",0,0,n,n,"23,333",0, - ,영업점,3,대퇴,1,불교,0,NULL,이혼,자가소유
B19,10034182,6665,서울,종로구,신영동,32,패밀리,0,2004-02-24,14,"494,724","693,500,000",1,"1,387,000,000",0,0,n,n,"7,025,000",25,"20,772,000",영업점,5,석사,2,기독교,2,전문직,이혼,전세
B20,10035485,1,NULL,NULL,NULL,40,패밀리,0,2009-11-24,8,"925,521","57,300,000",6,"114,600,000",0,0,n,n,"6,434,170",22,"18,552,000",영업점,5,석사,4,카톨릭,8,무직,재혼,가족소유
B21,10036391,25723,경기,파주시,문산읍,63,패밀리,0,2005-12-02,12,"287,867","50,900,000",3,"101,800,000",0,0,y,n,"8,026,667",0, - ,영업점,4,학사,2,기독교,3,자영업,비혼,전세
B22,10037882,42650,제주,제주시,일도동,55,패밀리,0,2007-03-28,11,"129,727","29,100,000",8,"58,200,000",0,0,n,n,"27,500",0, - ,영업점,5,석사,2,기독교,0,NULL,사실혼,월세
B23,10039187,18180,강원,춘천시,석사동,70,패밀리,0,2001-08-27,16,"954,681","900,800,000",1,"1,801,600,000",0,0,n,n,"10,278,938",0, - ,영업점,2,고졸,3,무교,3,자영업,비혼,자가소유
B24,10042305,1345,서울,강서구,염창동,58,패밀리,0,2007-05-30,11,"129,188","54,300,000",4,"108,600,000",0,0,n,n,"1,028,333",0, - ,영업점,4,학사,1,불교,6,주부,사별,가족소유
B25,10044259,25801,경기,파주시,파주읍,64,패밀리,0,2005-01-05,13,"875,126","2,900,000",7,"5,800,000",0,0,n,y,"8,030,000",0, - ,영업점,4,학사,2,기독교,3,자영업,비혼,월세
B26,10048107,1194,서울,강서구,공항동,58,플래티늄,3,2002-10-05,15,"344,830,290","5,500,000",4,"11,000,000",0,0,n,n,"3,279,204",11,"4,152,000",영업점,2,고졸,1,불교,8,무직,사실혼,가족소유
B27,10049589,25770,경기,파주시,조리읍,78,실버,1,2002-10-23,15,"6,527,095","3,900,000",6,"7,800,000",0,0,n,n,"5,862,831",40,"13,740,000",pb센터,9,NULL,9,원불교,1,회사원,사별,전세
B28,10049677,44327,충남,금산군,금성면,66,패밀리,0,2002-04-26,16,"197,850","87,300,000",3,"174,600,000",0,0,n,n,"1,030,833",0, - ,콜센터,2,고졸,4,카톨릭,6,주부,재혼,전세
B29,10052361,48343,경기,고양시,마두동,58,패밀리,0,2005-09-05,12,"488,392","1,900,000",9,"3,800,000",0,0,n,n,"1,032,500",31,"19,236,000",영업점,3,대퇴,1,불교,7,학생,재혼,자가소유
B30,10053820,20216,경기,고양시,일산4동,63,실버,1,2008-09-16,9,"2,898,424","6,000,000",9,"12,000,000",0,0,y,n,"34,167",0, - ,영업점,4,학사,2,기독교,8,무직,사별,가족소유
B31,10055000,43976,충남,천안시,사직동,57,패밀리,0,2002-06-07,16,"298,737","1,000,000",9,"2,000,000",0,0,n,n,"1,035,833",26,"984,000",영업점,2,고졸,1,불교,6,주부,사별,월세
B32,10059051,34868,경북,울릉군,울릉읍,62,실버,1,2005-04-03,13,"6,189,128","5,200,000",9,"10,400,000",0,0,n,n,"40,000",0, - ,영업점,4,학사,1,불교,8,무직,사실혼,월세
B33,10059205,40888,전북,전주시,서신동,46,실버,1,2009-01-18,9,"2,043,616","64,600,000",7,"129,200,000",0,0,n,n,"40,833",16,"1,104,000",pb센터,4,학사,2,기독교,0,NULL,이혼,전세
B34,10066409,3017,서울,도봉구,쌍문1동,50,골드,2,2001-05-02,17,"16,399,013","36,100,000",3,"72,200,000",0,0,y,n,"8,041,667",0, - ,영업점,4,학사,2,기독교,3,자영업,사실혼,자가소유
B35,10068694,25664,경기,파주시,교하읍,47,패밀리,0,2003-07-04,15,"823,884","659,500,000",3,"1,319,000,000",0,0,n,n,"43,333",35,"18,516,000",영업점,4,학사,2,기독교,0,NULL,사별,자가소유
B36,10078813,26250,경기,포천시,소흘읍,31,골드,2,2004-06-06,14,"15,942,407","16,500,000",3,"33,000,000",9300000,2325000,n,n,"11,825,661",0, - ,영업점,6,박사,2,기독교,2,전문직,사별,전세
B37,10080623,44088,충남,천안시,유량동,67,패밀리,0,2003-07-18,14,"294,685","77,800,000",4,"155,600,000",0,0,n,y,"3,616,495",0, - ,영업점,1,기타,4,카톨릭,6,주부,사별,자가소유
B38,10083091,23084,경기,시흥시,거모동,64,패밀리,0,2001-07-30,16,"356,140","78,400,000",3,"156,800,000",0,0,n,n,"8,046,667",0, - ,영업점,2,고졸,4,카톨릭,3,자영업,이혼,가족소유
B39,10086541,19963,경기,고양시,화정1동,68,패밀리,0,2005-12-13,12,"251,564","18,000,000",8,"36,000,000",0,0,y,n,"2,071,052",0, - ,pb센터,4,학사,4,카톨릭,8,무직,재혼,월세
B40,10088483,1,NULL,NULL,NULL,34,패밀리,0,2003-03-10,15,"827,063","75,600,000",4,"151,200,000",0,0,n,n,"1,049,167",0, - ,pb센터,4,학사,2,기독교,6,주부,사실혼,가족소유
B41,10088983,2401,서울,금천구,독산3동,51,패밀리,0,2006-10-16,11,"551,779","238,200,000",2,"476,400,000",0,0,y,n,"8,050,000",0, - ,pb센터,1,기타,1,불교,3,자영업,이혼,가족소유
B42,10090049,20227,경기,고양시,장항2동,12,플래티늄,3,2006-06-17,12,"652,462,056","487,100,000",3,"974,200,000",0,0,n,n,"50,833",0, - ,pb센터,2,고졸,9,원불교,8,무직,비혼,가족소유
B43,10092333,13440,인천,남동구,간석동,50,패밀리,0,2002-12-11,15,"37,741","131,000,000",3,"262,000,000",0,0,y,n,"8,051,667",0, - ,영업점,4,학사,1,불교,3,자영업,사별,가족소유
B44,10092416,41257,전북,정읍시,북면,64,패밀리,0,2002-02-18,16,"890,072","15,100,000",4,"30,200,000",0,0,n,n,"7,052,500",0, - ,영업점,6,박사,2,기독교,2,전문직,사실혼,가족소유
B45,10093925,1,NULL,NULL,NULL,68,실버,1,2005-03-31,13,"4,709,410","3,200,000",6,"6,400,000",0,0,n,n,"8,054,167",0, - ,영업점,2,고졸,4,카톨릭,3,자영업,사실혼,자가소유
B46,10096261,23160,경기,시흥시,신천동,68,패밀리,0,2007-01-08,11,"704,359","306,200,000",3,"612,400,000",164600000,0,n,n,"1,055,833",39,"10,716,000",콜센터,2,고졸,3,무교,6,주부,이혼,월세
B47,10097670,17038,울산,울주군,범서읍,61,패밀리,0,2003-03-11,15,"272,012","60,300,000",4,"120,600,000",0,0,n,n,"1,057,500",14,"19,104,000",영업점,2,고졸,2,기독교,6,주부,비혼,가족소유
B48,10097777,41419,전북,고창군,대산면,65,패밀리,0,2002-08-26,15,"80,691","27,900,000",5,"55,800,000",0,0,n,n,"1,058,333",23,"4,056,000",영업점,2,고졸,4,카톨릭,6,주부,재혼,전세
B49,10099093,12992,인천,계양구,계산3동,37,플래티늄,3,2006-05-24,12,"573,401,241","3,200,000",4,"6,400,000",0,0,n,n,"60,833",0, - ,영업점,3,대퇴,1,불교,8,무직,비혼,월세
B50,10101020,13536,인천,남동구,만수4동,74,패밀리,0,2007-04-01,11,"461,398","26,700,000",4,"53,400,000",0,0,n,n,"8,062,500",12,"276,000",pb센터,4,학사,4,카톨릭,3,자영업,사별,전세
B51,10101722,1440,서울,강서구,화곡8동,40,패밀리,0,2005-12-13,12,"836,539","14,500,000",9,"29,000,000",0,0,n,n,"63,333",0, - ,pb센터,2,고졸,4,카톨릭,0,NULL,사별,전세
B52,10103781,23625,경기,안성시,금석동,64,골드,2,2007-04-08,11,"28,815,961","13,200,000",7,"26,400,000",0,0,y,y,"65,000",0, - ,영업점,4,학사,4,카톨릭,8,무직,기혼,가족소유
B53,10104444,747,서울,강동구,성내2동,61,골드,2,2009-06-04,9,"19,664,286","40,400,000",4,"80,800,000",0,0,n,n,"1,066,667",0, - ,영업점,2,고졸,4,카톨릭,6,주부,사실혼,자가소유
B54,10105819,48524,경기,고양시,주엽1동,47,실버,1,2004-06-26,14,"6,283,253","1,300,000",8,"2,600,000",0,0,n,n,"2,986,506",15,"19,284,000",영업점,3,대퇴,2,기독교,6,주부,비혼,월세
B55,10106405,20996,경기,군포시,당동,34,패밀리,0,2001-08-08,16,"610,752","51,600,000",3,"103,200,000",0,0,n,n,"11,226,401",33,"4,872,000",영업점,4,학사,1,불교,3,자영업,사실혼,전세
B56,10107459,5485,서울,양천구,신월4동,71,골드,2,2006-10-24,11,"14,573,172","22,800,000",4,"45,600,000",0,0,n,n,"8,068,333",0, - ,영업점,4,학사,1,불교,3,자영업,재혼,가족소유
B57,10110474,9776,부산,연제구,거제1동,77,실버,1,2007-09-08,10,"5,118,899","2,300,000",9,"4,600,000",0,0,n,n,"3,852,125",18,"4,056,000",pb센터,2,고졸,4,카톨릭,0,NULL,사별,가족소유
B58,10111215,5228,서울,송파구,송파2동,61,패밀리,0,2006-10-24,11,"709,256","5,800,000",9,"11,600,000",0,0,n,n,"70,000",0, - ,영업점,3,대퇴,4,카톨릭,0,NULL,이혼,전세
B59,10111272,35762,전남,광양시,금호동,67,골드,2,2006-06-07,12,"20,402,797","4,500,000",9,"9,000,000",0,0,n,n,"70,833",18,"16,416,000",영업점,2,고졸,4,카톨릭,0,NULL,사실혼,전세
B60,10111304,1251,서울,강서구,내발산동,43,패밀리,0,2004-03-13,14,"101,449","31,000,000",5,"62,000,000",0,0,y,n,"1,071,667",0, - ,pb센터,2,고졸,1,불교,6,주부,기혼,가족소유
B61,10113307,23184,경기,시흥시,은행동,25,실버,1,2009-07-22,8,"8,591,724","332,300,000",3,"664,600,000",0,0,n,n,"72,500",0, - ,pb센터,3,대퇴,4,카톨릭,8,무직,사실혼,월세
B62,10114710,13592,인천,동구,송림2동,44,패밀리,0,2008-11-30,9,"655,268","184,200,000",2,"368,400,000",0,0,y,n,"3,073,333",10,"1,812,000",영업점,4,학사,1,불교,1,회사원,사별,월세
B63,10114887,1,NULL,NULL,NULL,48,패밀리,0,2003-10-19,14,"266,304","10,200,000",5,"20,400,000",0,0,n,n,"8,074,167",27,"4,908,000",pb센터,4,학사,2,기독교,3,자영업,사실혼,월세
B64,10120251,1994,서울,광진구,자양1동,57,패밀리,0,2004-12-09,13,"65,286","67,800,000",4,"135,600,000",0,0,y,n,"1,075,833",0, - ,pb센터,4,학사,2,기독교,6,주부,비혼,가족소유
B65,10121729,23534,경기,안산시,본오동,63,패밀리,0,2004-01-08,14,"908,489","15,500,000",7,"31,000,000",0,0,y,n,"1,076,667",29,"4,308,000",영업점,3,대퇴,3,무교,7,학생,사실혼,자가소유
B66,10123251,12,NULL,NULL,NULL,58,패밀리,0,2007-02-27,11,"405,409","4,500,000",9,"9,000,000",0,0,n,n,"77,500",0, - ,영업점,2,고졸,1,불교,8,무직,기혼,가족소유
B67,10123904,6230,서울,용산구,효창동,68,패밀리,0,2007-03-20,11,"279,572","14,400,000",7,"28,800,000",0,0,n,n,"1,078,333",0, - ,pb센터,4,학사,1,불교,7,학생,사별,자가소유
B68,10125257,25630,경기,파주시,금촌동,33,패밀리,0,2002-08-09,15,"414,055","13,300,000",7,"26,600,000",0,0,n,n,"1,079,167",0, - ,pb센터,4,학사,1,불교,7,학생,사별,월세
B69,10125896,48580,경기,고양시,마두동,74,실버,1,2002-12-24,15,"3,844,676","31,800,000",6,"63,600,000",0,0,n,n,"1,080,000",0, - ,영업점,4,학사,1,불교,7,학생,재혼,월세
B70,10126354,48584,경기,고양시,장항동,68,패밀리,0,2006-11-30,11,"416,921","24,200,000",7,"48,400,000",0,0,n,n,"80,833",15,"16,500,000",영업점,5,석사,2,기독교,8,무직,비혼,가족소유
B71,10132457,19959,경기,고양시,화전동,45,패밀리,0,2007-06-25,11,"163,980","20,600,000",4,"41,200,000",0,0,n,n,"2,582,500",0, - ,영업점,5,석사,1,불교,5,군인,사별,전세
B72,10132518,25658,경기,파주시,아동동,70,패밀리,0,2004-10-20,13,"799,413","4,900,000",8,"9,800,000",0,0,y,n,"1,008,333",0, - ,영업점,2,고졸,2,기독교,6,주부,재혼,월세
B73,10136724,16573,울산,남구,삼산동,66,골드,2,2006-03-08,12,"23,447,174","634,500,000",2,"1,269,000,000",0,0,y,n,"1,010,000",0, - ,영업점,2,고졸,1,불교,6,주부,사실혼,월세
B74,10145132,20326,경기,고양시,탄현동,50,패밀리,0,2004-04-02,14,"929,154","4,200,000",9,"8,400,000",0,0,n,n,"12,500",20,"2,328,000",pb센터,9,NULL,1,불교,8,무직,이혼,자가소유
B75,10147886,5623,서울,영등포구,대림1동,55,실버,1,2003-02-09,15,"7,567,561","11,100,000",5,"22,200,000",0,0,n,n,"8,013,333",0, - ,영업점,4,학사,1,불교,3,자영업,이혼,월세
B76,10150116,25849,경기,파주시,월롱면,64,실버,1,2009-11-01,8,"1,546,922","1,600,000",9,"3,200,000",0,0,n,n,"1,014,167",0, - ,영업점,3,대퇴,2,기독교,6,주부,이혼,월세
B77,10151293,19456,강원,평창군,진부면,66,실버,1,2003-09-24,14,"4,572,467","21,600,000",4,"43,200,000",0,0,y,y,"9,123,633",0, - ,영업점,2,고졸,4,카톨릭,3,자영업,사실혼,가족소유
B78,10151647,48509,경기,고양시,주엽1동,67,패밀리,0,2006-02-05,12,"862,976","2,800,000",7,"5,600,000",0,0,n,n,"3,015,833",0, - ,콜센터,5,석사,4,카톨릭,1,회사원,비혼,가족소유
B79,10151911,12,NULL,NULL,NULL,76,플래티늄,3,2001-07-09,16,"839,490,738","7,800,000",2,"15,600,000",0,0,n,n,"8,016,667",0, - ,영업점,4,학사,3,무교,3,자영업,이혼,자가소유
B80,10158063,20184,경기,고양시,일산2동,45,패밀리,0,2003-10-13,14,"935,296","18,200,000",6,"36,400,000",0,0,n,n,"1,018,333",0, - ,pb센터,5,석사,2,기독교,6,주부,기혼,전세
B81,10158908,30627,경남,함양군,안의면,50,실버,1,2001-12-10,16,"4,747,603","262,200,000",2,"524,400,000",0,0,n,n,"5,019,167",40,"18,012,000",영업점,5,석사,3,무교,4,계열사직원,사별,자가소유
B82,10159843,20326,경기,고양시,탄현동,49,패밀리,0,2005-04-04,13,"44,619","7,100,000",9,"14,200,000",0,0,n,n,"3,333,057",35,"19,536,000",영업점,5,석사,2,기독교,8,무직,사별,월세
B83,10161860,20013,경기,고양시,가좌동,48,골드,2,2003-06-17,15,"16,273,143","938,900,000",3,"1,877,800,000",0,0,n,n,"20,000",22,"5,280,000",영업점,2,고졸,1,불교,8,무직,이혼,월세
B84,10162787,22036,경기,부천시,역곡동,47,패밀리,0,2002-12-13,15,"924,004","5,900,000",8,"11,800,000",0,0,n,n,"1,021,667",0, - ,영업점,2,고졸,4,카톨릭,6,주부,재혼,전세
B85,10168100,48478,경기,고양시,일산1동,22,패밀리,0,2003-11-13,14,"884,829","382,000,000",2,"764,000,000",8400000,2100000,n,n,"8,024,167",20,"4,980,000",영업점,4,학사,1,불교,3,자영업,사별,전세
B86,10169173,620,서울,강동구,길동,65,패밀리,0,2005-04-06,13,"607,461","387,300,000",2,"774,600,000",0,0,n,n,"8,025,000",0, - ,pb센터,4,학사,1,불교,3,자영업,이혼,가족소유
B87,10170771,25630,경기,파주시,금촌동,36,실버,1,2002-04-09,16,"6,989,722","13,500,000",4,"27,000,000",0,0,y,n,"3,026,667",28,"876,000",영업점,5,석사,2,기독교,1,회사원,사실혼,월세
B88,10180565,6075,서울,용산구,이촌1동,74,패밀리,0,2006-07-17,11,"232,612","3,800,000",7,"7,600,000",0,0,n,n,"8,028,333",0, - ,pb센터,5,석사,1,불교,3,자영업,이혼,월세
B89,10191478,1261,서울,강서구,등촌2동,65,실버,1,2005-09-14,12,"2,232,285","147,700,000",4,"295,400,000",0,0,n,n,"1,030,833",0, - ,pb센터,5,석사,4,카톨릭,7,학생,기혼,전세
B90,10193306,6182,서울,용산구,한강로3가,22,패밀리,0,2003-01-27,15,"471,764","53,100,000",3,"106,200,000",0,0,n,n,"8,031,667",25,"16,932,000",영업점,4,학사,4,카톨릭,3,자영업,기혼,자가소유
B91,10194139,101,NULL,NULL,NULL,71,패밀리,0,2006-08-27,11,"800,159","5,400,000",6,"10,800,000",0,0,n,n,"8,032,500",12,"19,668,000",pb센터,5,석사,4,카톨릭,3,자영업,기혼,월세
B92,10197307,14266,인천,중구,항동7가,73,패밀리,0,2001-09-06,16,"678,555","390,600,000",4,"781,200,000",0,0,y,n,"33,333",0, - ,pb센터,9,NULL,9,원불교,0,NULL,사실혼,전세
B93,10198060,42554,제주,제주시,연동,45,패밀리,0,2002-05-17,16,"89,807","3,300,000",7,"6,600,000",0,0,y,n,"9,599,157",18,"13,872,000",pb센터,5,석사,2,기독교,3,자영업,사별,가족소유
B94,10198802,24031,경기,안양시,평안동,67,패밀리,0,2009-07-30,8,"885,277","187,800,000",4,"375,600,000",0,0,n,n,"34,167",0, - ,영업점,5,석사,4,카톨릭,8,무직,재혼,가족소유
B95,10198854,1251,서울,강서구,내발산동,43,골드,2,2007-05-28,11,"28,425,399","24,000,000",6,"48,000,000",0,0,n,n,"2,971,436",0, - ,영업점,4,학사,2,기독교,7,학생,이혼,가족소유
B96,10202791,12,NULL,NULL,NULL,68,패밀리,0,2006-05-23,12,"101,204","33,100,000",4,"66,200,000",0,0,n,n,"7,163,814",0, - ,영업점,5,석사,4,카톨릭,1,회사원,사별,자가소유
B97,10203097,21190,경기,김포시,고촌면,76,실버,1,2007-05-08,11,"2,216,586","242,200,000",2,"484,400,000",0,0,n,n,"4,395,428",0, - ,영업점,2,고졸,4,카톨릭,1,회사원,재혼,자가소유
B98,10205684,22,NULL,NULL,NULL,64,패밀리,0,2007-06-25,11,"973,030","12,600,000",4,"25,200,000",0,0,n,n,"12,804,404",38,"4,464,000",pb센터,4,학사,4,카톨릭,3,자영업,이혼,월세
B99,10208321,20085,경기,고양시,마두1동,50,패밀리,0,2006-01-04,12,"508,903","138,500,000",5,"277,000,000",0,0,n,n,"36,667",27,"23,940,000",pb센터,2,고졸,1,불교,0,NULL,재혼,자가소유
B100,10217831,6302,서울,은평구,갈현동,70,패밀리,0,2007-06-29,11,"634,593","9,200,000",9,"18,400,000",0,0,n,n,"38,333",0, - ,pb센터,1,기타,1,불교,0,NULL,기혼,가족소유
B101,10219089,40286,전북,익산시,남중동,63,실버,1,2002-02-05,16,"4,821,558","891,900,000",1,"1,783,800,000",0,0,n,n,"8,040,833",0, - ,영업점,3,대퇴,2,기독교,3,자영업,재혼,월세
B102,10225781,1256,서울,강서구,등촌2동,67,실버,1,2005-11-10,12,"5,123,046","335,500,000",3,"671,000,000",0,0,n,n,"42,500",0, - ,영업점,4,학사,2,기독교,8,무직,이혼,전세
B103,10231367,6557,서울,종로구,내수동,63,패밀리,0,2008-08-06,9,"973,499","164,600,000",5,"329,200,000",0,0,n,n,"43,333",0, - ,pb센터,3,대퇴,1,불교,0,NULL,기혼,가족소유
B104,10231667,1,NULL,NULL,NULL,51,패밀리,0,2004-04-28,14,"876,858","123,900,000",3,"247,800,000",0,0,y,n,"9,843,691",0, - ,pb센터,4,학사,2,기독교,3,자영업,이혼,월세
B105,10235727,20003,경기,고양시,화정동,59,패밀리,0,2006-07-18,11,"713,868","81,900,000",6,"163,800,000",0,0,y,n,"44,167",0, - ,pb센터,2,고졸,1,불교,0,NULL,기혼,전세
B106,10239475,11,NULL,NULL,NULL,69,패밀리,0,2001-12-07,16,"146,144","23,500,000",4,"47,000,000",0,0,n,n,"8,045,833",0, - ,영업점,2,고졸,2,기독교,3,자영업,비혼,전세
B107,10240279,12602,대구,수성구,파동,59,패밀리,0,2009-11-01,8,"648,468","28,300,000",4,"56,600,000",0,0,n,n,"3,046,667",40,"5,496,000",영업점,4,학사,1,불교,1,회사원,사별,월세
B108,10244878,25664,경기,파주시,교하읍,62,패밀리,0,2002-09-04,15,"809,440","235,100,000",2,"470,200,000",0,0,n,y,"3,048,333",34,"19,176,000",영업점,4,학사,2,기독교,1,회사원,사실혼,가족소유
B109,10246951,20996,경기,군포시,당동,59,플래티늄,3,2007-06-09,11,"704,030,994","41,000,000",2,"82,000,000",0,0,n,n,"8,050,000",0, - ,영업점,4,학사,2,기독교,3,자영업,사별,월세
B110,10247280,42664,제주,남제주군,남원읍,69,패밀리,0,2002-06-18,16,"700,108","4,200,000",9,"8,400,000",0,0,n,n,"51,667",0, - ,영업점,5,석사,2,기독교,8,무직,사실혼,가족소유
B111,10254002,2668,서울,노원구,상계8동,74,골드,2,2009-03-09,9,"24,094,508","36,700,000",7,"73,400,000",0,0,n,n,"53,333",0, - ,영업점,2,고졸,4,카톨릭,0,NULL,비혼,자가소유
B112,10254813,25388,경기,이천시,창전동,61,실버,1,2005-02-01,13,"2,908,515","75,500,000",4,"151,000,000",0,0,n,n,"1,054,167",0, - ,영업점,4,학사,1,불교,7,학생,사실혼,가족소유
B113,10255480,23613,경기,안산시,일동,59,패밀리,0,2007-11-22,10,"680,478","37,300,000",4,"74,600,000",0,0,n,n,"2,813,037",0, - ,영업점,4,학사,2,기독교,6,주부,이혼,전세
B114,10255991,21899,경기,부천시,오정동,30,실버,1,2009-10-22,8,"2,963,613","27,900,000",5,"55,800,000",0,0,n,n,"1,055,000",0, - ,콜센터,5,석사,1,불교,6,주부,비혼,자가소유
B115,10258249,25905,경기,파주시,탄현면,48,실버,1,2003-01-13,15,"6,512,717","346,700,000",2,"693,400,000",0,0,n,n,"3,055,833",0, - ,영업점,3,대퇴,2,기독교,1,회사원,이혼,전세
B116,10259931,21124,경기,김포시,북변동,63,실버,1,2003-01-10,15,"8,151,854","48,300,000",3,"96,600,000",0,0,n,n,"3,056,667",27,"1,488,000",영업점,5,석사,1,불교,1,회사원,재혼,전세
B117,10261399,,NULL,NULL,NULL,41,패밀리,0,2008-08-20,9,"266,501","12,800,000",5,"25,600,000",0,0,n,n,"10,512,296",0, - ,영업점,4,학사,4,카톨릭,3,자영업,비혼,월세
B118,10261980,48625,경기,고양시,백석동 ,50,패밀리,0,2008-11-10,9,"214,712","188,300,000",4,"376,600,000",0,0,y,n,"57,500",22,"13,884,000",영업점,2,고졸,1,불교,8,무직,사별,가족소유
B119,10263572,5739,서울,영등포구,신길7동,44,실버,1,2005-09-30,12,"9,285,179","14,400,000",8,"28,800,000",0,0,n,n,"1,186,858",0, - ,영업점,6,박사,4,카톨릭,0,NULL,재혼,자가소유
B120,10264246,7522,부산,강서구,대저1동,56,실버,1,2006-03-14,12,"3,628,258","133,800,000",3,"267,600,000",0,0,n,n,"1,058,333",0, - ,영업점,6,박사,2,기독교,6,주부,이혼,자가소유
B121,10264415,25208,경기,의정부시,신곡2동,53,패밀리,0,2003-11-19,14,"223,091","203,900,000",2,"407,800,000",0,0,n,n,"9,088,158",0, - ,영업점,5,석사,2,기독교,3,자영업,사실혼,전세
B122,10268220,52,NULL,NULL,NULL,62,골드,2,2006-07-05,12,"20,577,700","14,600,000",8,"29,200,000",0,0,n,n,"59,167",0, - ,영업점,4,학사,2,기독교,0,NULL,사실혼,전세
